source_label,text
شحن_وتوصيل,لم أتلق رقم التتبع رغم مرور يومين على الطلب
شحن_وتوصيل,الشحنة تأخرت وعند وصولها كانت تالفة
شحن_وتوصيل,العنوان الصحيح لكن المندوب سلّم الطلب للجار
شحن_وتوصيل,تم إرسال عدة طلبات منفصلة بدلاً من طرد واحد
شحن_وتوصيل,لم أُخطر بموعد التوصيل المتوقع
شحن_وتوصيل,المنتج مبلل بسبب تغليف غير مناسب للمطر
شحن_وتوصيل,وصلني طلب شخص آخر بدلاً من طلبي
شحن_وتوصيل,رسوم الشحن مرتفعة جداً مقارنةً بالخدمة المقدمة
شحن_وتوصيل,لم يتم إخطاري عند وصول الشحنة لمستودع التوزيع
شحن_وتوصيل,التغليف الداخلي لم يحمِ المنتج من الصدمات
شحن_وتوصيل,اضطررت للذهاب لمركز التوزيع لاستلام الطلب دون سبب
شحن_وتوصيل,وصل الطلب في حالة مجعدة تدل على سوء التخزين
شحن_وتوصيل,الشحنة مرت بيد عدة ناقلين مما أخر وصولها
شحن_وتوصيل,لم يتم الإشارة إلى هش على الطرد رغم طبيعة المنتج
شحن_وتوصيل,تم تسليم الطلب لشخص آخر في العمارة دون إذني
شحن_وتوصيل,وصل الطلب بدون فاتورة داخل الطرد
شحن_وتوصيل,الشحنة الدولية وصلت محتجزة في الجمارك دون إشعار
شحن_وتوصيل,المنتج وصل والعلبة الداخلية مهشمة
جودة_منتج,المنتج الذي استلمته يختلف تماماً عن الصورة المعروضة
جودة_منتج,توقف الجهاز عن العمل بعد ثلاثة أيام فقط من الاستخدام
جودة_منتج,المنتج مقلد وليس أصلياً كما هو معلن
جودة_منتج,الأبعاد والمقاسات المذكورة غير دقيقة
جودة_منتج,المواد المستخدمة في الصنع رديئة الجودة
جودة_منتج,رائحة المنتج كريهة منذ فتح العبوة
جودة_منتج,اللون الذي وصل مختلف تماماً عن المعروض
جودة_منتج,قطعة الملابس تفككت بعد أول غسلة
جودة_منتج,الجهاز الإلكتروني لا يعمل منذ البداية
جودة_منتج,المنتج الغذائي منتهي الصلاحية
جودة_منتج,العبوة بها تسريب واضح
جودة_منتج,المواصفات المذكورة على العبوة مضللة
جودة_منتج,الجزء المعدني تآكل بسرعة غير طبيعية
جودة_منتج,الطلاء تقشر بعد أسبوع واحد فقط
جودة_منتج,القماش خشن جداً وغير مريح على الجلد
جودة_منتج,الوزن الفعلي للمنتج أقل بكثير مما هو مذكور
جودة_منتج,البطارية تفرغ في أقل من ساعة رغم ادعاء 10 ساعات
جودة_منتج,المنتج بدا مستخدماً مسبقاً عند استلامه
جودة_منتج,الخياطة رديئة وبدأت تنهار من اليوم الأول
جودة_منتج,الإكسسوارات المرفقة مع المنتج غير مكتملة
جودة_منتج,الزجاج مخدوش رغم وصف جديد على الإعلان
جودة_منتج,المنتج لا يتوافق مع المواصفات الكهربائية المحلية
جودة_منتج,صوت غير طبيعي يصدر من الجهاز منذ البداية
جودة_منتج,نمط التصميم مختلف كلياً عن الصور في الإعلان
جودة_منتج,المنتج لا يدعم اللغة العربية رغم الإعلان عكس ذلك
فاتورة_ودفع,تم خصم المبلغ مرتين من حسابي البنكي لطلب واحد
فاتورة_ودفع,الفاتورة لا تطابق المبلغ المحدد عند الطلب
فاتورة_ودفع,طُلب مني الدفع مرة أخرى رغم اكتمال الدفع
فاتورة_ودفع,تم خصم رسوم إضافية لم أوافق عليها
فاتورة_ودفع,لم أستلم إيصال الدفع بعد إتمام العملية
فاتورة_ودفع,تم تحصيل رسوم اشتراك شهري لم أشترك فيه
فاتورة_ودفع,المبلغ المعروض قبل الدفع يختلف عن المبلغ المخصوم فعلياً
فاتورة_ودفع,لا أستطيع إضافة بطاقة ائتمان جديدة في حسابي
فاتورة_ودفع,تم إلغاء طلبي لكن الأموال لم تُرجع
فاتورة_ودفع,الفاتورة المرسلة تحتوي على أخطاء في البيانات
فاتورة_ودفع,رسوم الضريبة محسوبة بشكل غير صحيح في الفاتورة
فاتورة_ودفع,تم تجديد الاشتراك تلقائياً دون إشعار مسبق
فاتورة_ودفع,لا توجد طريقة للدفع بالتقسيط في الموقع
فاتورة_ودفع,عملية الدفع فشلت لكن تم خصم المبلغ
فاتورة_ودفع,الكوبون لم يُطبق رغم صحته وعدم انتهاء صلاحيته
فاتورة_ودفع,لا أستطيع تحديث معلومات بطاقتي في الحساب
فاتورة_ودفع,رسوم توصيل محسوبة رغم تأهلي للشحن المجاني
فاتورة_ودفع,الفاتورة لا تحتوي على تفاصيل كافية
فاتورة_ودفع,حاولت الدفع عبر سداد لكن العملية لم تكتمل
فاتورة_ودفع,تم استقطاع مبلغ مختلف عن قيمة الطلب
فاتورة_ودفع,لم أستطع استرداد رصيد المحفظة المتوفر في حسابي
فاتورة_ودفع,الموقع يظهر سعراً والصفحة الأخيرة تظهر سعراً مختلفاً
فاتورة_ودفع,لم تصلني فاتورة ضريبية رغم طلبها عدة مرات
فاتورة_ودفع,رسوم خدمة إضافية لم أوافق عليها ضمن الفاتورة
فاتورة_ودفع,تم رفض بطاقتي الائتمانية دون سبب واضح
استرداد_وإرجاع,مضى على طلب الاسترداد أكثر من شهر ولم يصلني المبلغ
استرداد_وإرجاع,رفضوا استلام المنتج المرتجع دون أي مبرر
استرداد_وإرجاع,لا يوجد خيار الإرجاع في الموقع لهذا المنتج
استرداد_وإرجاع,أُخبرت بأن فترة الإرجاع انتهت رغم أنها لم تنته
استرداد_وإرجاع,طلبت استبدال المنتج لكنهم أرسلوا منتجاً آخر تالفاً
استرداد_وإرجاع,تكاليف إرجاع المنتج مرتفعة جداً
استرداد_وإرجاع,ملصق الشحن للإرجاع لم يصلني
استرداد_وإرجاع,المنتج مؤهل للإرجاع لكن الموظف رفض قبوله
استرداد_وإرجاع,تم خصم رسوم من مبلغ الاسترداد دون إشعار
استرداد_وإرجاع,أُعيد إليّ المنتج ذاته بدلاً من صرف الاسترداد
استرداد_وإرجاع,طلبت استرداد النقود لكنهم أصروا على إعطائي رصيداً
استرداد_وإرجاع,فترة الإرجاع المتاحة قصيرة جداً لا تكفي
استرداد_وإرجاع,لم يصلني تأكيد على استلام المنتج المرتجع
استرداد_وإرجاع,عملية الإرجاع معقدة جداً وتتطلب خطوات كثيرة
استرداد_وإرجاع,أُخبرت بأن المنتج لا يشمله الضمان بشكل خاطئ
استرداد_وإرجاع,مبلغ الاسترداد الوارد أقل من المبلغ المدفوع أصلاً
استرداد_وإرجاع,لا أستطيع طباعة نموذج الإرجاع من الموقع
استرداد_وإرجاع,وصلني المنتج المستبدل خاطئاً مرة ثانية
استرداد_وإرجاع,تم تجاهل طلب الاسترداد ولم يُعالج
استرداد_وإرجاع,الإرجاع قبل مدة 14 يوم مرفوض بدون سبب وجيه
استرداد_وإرجاع,طلبت تغيير المقاس لكن لا يوجد خيار الاستبدال
استرداد_وإرجاع,لم أتلق رسالة تأكيد رغم موافقتهم على الاسترداد
استرداد_وإرجاع,طال وقت معالجة طلب الاسترداد كثيراً
استرداد_وإرجاع,المنتج المرتجع عالق في مركز التوزيع منذ أسبوعين
استرداد_وإرجاع,تم رفض الإرجاع بحجة أن العبوة تالفة
تقنية_واجهة,التطبيق يتوقف عن العمل فجأة عند إتمام عملية الدفع
تقنية_واجهة,صفحة المنتج لا تُحمَّل بشكل صحيح على متصفحي
تقنية_واجهة,لا أستطيع تسجيل الدخول للحساب رغم صحة البيانات
تقنية_واجهة,سلة التسوق تفرغ تلقائياً بعد كل جلسة
تقنية_واجهة,البحث في الموقع لا يُظهر نتائج دقيقة
تقنية_واجهة,التطبيق لا يتوافق مع نظام iOS الأحدث
تقنية_واجهة,الموقع بطيء جداً ويستغرق وقتاً طويلاً للتحميل
تقنية_واجهة,لا أستطيع تحديث عنوان التوصيل في حسابي
تقنية_واجهة,الصور في صفحة المنتج لا تُعرض على جهازي
تقنية_واجهة,واجهة التطبيق غير ملائمة للهواتف الصغيرة
تقنية_واجهة,لا أستطيع تفعيل الإشعارات في التطبيق
تقنية_واجهة,رمز التحقق لا يصل عبر الرسائل النصية
تقنية_واجهة,خاصية المقارنة بين المنتجات لا تعمل
تقنية_واجهة,الموقع لا يدعم اللغة العربية بشكل كامل
تقنية_واجهة,التطبيق يستهلك بطارية الهاتف بشكل مفرط
تقنية_واجهة,قائمة المفضلة تختفي بعد كل تحديث للتطبيق
تقنية_واجهة,صفحة الطلبات السابقة لا تُحمَّل عندي
تقنية_واجهة,لا تعمل خاصية التتبع المباشر للشحنة في التطبيق
تقنية_واجهة,لا يمكنني حذف عنوان التوصيل القديم
تقنية_واجهة,خطأ في التطبيق يمنعني من إتمام الطلب
تقنية_واجهة,الموقع لا يتذكر معلومات الدفع المحفوظة
تقنية_واجهة,التطبيق يعرض أسعاراً مختلفة عن الموقع
تقنية_واجهة,لا تعمل خاصية المسح الضوئي للباركود في التطبيق
تقنية_واجهة,المتصفح يحول لصفحة خطأ عند الضغط على الدفع
تقنية_واجهة,لا أستطيع تغيير كلمة المرور من الإعدادات
خصومات_وعروض,كود الخصم لا يعمل رغم أنه ضمن فترة الصلاحية
خصومات_وعروض,العرض المعلن لا ينطبق على المنتج الذي اشتريته
خصومات_وعروض,خصم العيد لم يُطبق تلقائياً على طلبي
خصومات_وعروض,وصف العرض مضلل وغير دقيق
خصومات_وعروض,الشحن المجاني معلن لكنه تم تحصيله في الدفع
خصومات_وعروض,كود الخصم للعملاء الجدد لا يقبله النظام
خصومات_وعروض,انتهى العرض قبل موعده المعلن
خصومات_وعروض,الخصم المطبق أقل من النسبة المعلنة
خصومات_وعروض,لا يمكنني الجمع بين كودين للخصم في طلب واحد
خصومات_وعروض,العرض المبكر للشراء انتهى قبل ساعة من موعده
خصومات_وعروض,المنتج المعلن في العرض غير متوفر عند طلبه
خصومات_وعروض,خصم العضوية لم يُضف إلى حسابي رغم تأهلي
خصومات_وعروض,النقاط المكتسبة لم تُضف لرصيد المكافآت
خصومات_وعروض,الكوبون يقبل الحد الأدنى للمبلغ لكن الخصم لا يُطبق
خصومات_وعروض,تطبيق الخصم يزيل منتجات أخرى من السلة
خصومات_وعروض,العروض لا تُحدَّث بانتظام على صفحة العروض
خصومات_وعروض,خصم المجموعات لم يُطبق على طلبي الجماعي
خصومات_وعروض,تلقيت بريداً عن عرض لكنه غير موجود في الموقع
خصومات_وعروض,كود خصم قديم استُخدم دون علمي في حسابي
خصومات_وعروض,لا يوجد تنبيه عند اقتراب انتهاء صلاحية الكوبون
خصومات_وعروض,خصم التطبيق لا يُطبق عند استخدام المتصفح
خصومات_وعروض,العرض الترحيبي للعضوية لم أحصل عليه
خصومات_وعروض,الاشتراك في النشرة البريدية لم يمنحني الكوبون الموعود
خصومات_وعروض,أسعار العرض في الإعلان مختلفة عن الموقع
خصومات_وعروض,خصم بطاقة البنك لم يظهر عند الدفع كما هو معلن
تأخير_توصيل,تأخر وصول طلبي أسبوعين عن الموعد المحدد
تأخير_توصيل,لم يصلني طلبي حتى الآن وقد مضى موعد التسليم
تأخير_توصيل,كان المفترض وصول الطلب أمس لكنه لم يصل بعد
تأخير_توصيل,وعدوني بالتوصيل خلال يومين ومضى أسبوع
تأخير_توصيل,الطلب ما زال في مرحلة جاري التجهيز منذ 5 أيام
تأخير_توصيل,رقم التتبع لا يُحدَّث منذ 3 أيام
تأخير_توصيل,مندوب التوصيل لم يحضر في الموعد المحدد
تأخير_توصيل,تأخر وصول هدية عيد الميلاد بسبب التأخير في التوصيل
تأخير_توصيل,طلبت التوصيل العاجل ودفعت رسومه لكنه تأخر
تأخير_توصيل,المنتج متوقف في المستودع منذ أسبوع دون سبب
تأخير_توصيل,الموقع يقول تم التسليم لكنه لم يصل بعد
تأخير_توصيل,مضت 10 أيام على الطلب ولم يبدأ الشحن بعد
تأخير_توصيل,لا يوجد توضيح لسبب تأخر الشحنة
تأخير_توصيل,التأخير أثر على احتياجي العاجل للمنتج
تأخير_توصيل,المنتج وصل بعد انتهاء مناسبة اشتريته لأجلها
تأخير_توصيل,الطلب محجوز في مدينة أخرى منذ أيام دون تحرك
تأخير_توصيل,مضى موعد الوصول المتوقع بثلاثة أيام
تأخير_توصيل,اتصلت عدة مرات لمعرفة سبب التأخير ولم يجبني أحد
تأخير_توصيل,التوصيل المجدول لهذا اليوم لم يتم حتى الآن
تأخير_توصيل,أُلغي الطلب تلقائياً بسبب تأخر التوصيل دون استرداد
تأخير_توصيل,الشحنة عبرت المدينة الخاطئة مما سبب التأخير
تأخير_توصيل,وصلتني رسالة نصية بتحديث لكن التطبيق لم يتغير
تأخير_توصيل,وعدني المندوب بالتوصيل صباحاً ولم يحضر حتى المساء
تأخير_توصيل,الطلب معلق في الجمارك منذ أسبوعين دون أي تحديث
تأخير_توصيل,أحتاج الطلب بشكل عاجل لكن موعد التوصيل غير محدد
oclar_2star,هذا الفندق ينقصه بعض الاشياء داخل الغرف مثلا عدم وضوح القنوات التلفزيونية وجود اعطال في الحمامات ولا تستطيع وضع الملابس داخل الحمام الا على المغسلة وليس به وجبة افطار صباحية اما موقعه فهو جيد وقريب على اماكن التسوق وقريب جدا من المطار
oclar_1star,المكان غير جيد
oclar_2star,لا بأس
oclar_1star,في غرفة؟
oclar_1star,ماء الفندق مالح غير عذب .. كذلك خدمة الانترنيت سيئة جدا .. وجبات الفطور سيئه .. وكذلك تعاملهم سيئ غير مؤدب ..
oclar_1star,دون المستوى من خلال الطلبات وتقديمها بحيث تنتظر مدة ساعه لتأخذ اذن بالطلب.. وغيرها من الأشياء
oclar_1star,لحمة مشوية غير ناضجة والحمص غير جيد والفتوش رديئ والبطاطا سيئة لا انصح احد بأكل الطعام الشرقي
oclar_2star,محل جيد جداً يوجد فيه البسه ولادي والبسه نسائي والبسه رجالي واحذية لجميع الاعمار ويوجد مكان لادوات منزلية محل عائلي بامتياز واسعار مدروسة جدا لجميع الفئات
oclar_1star,قد تجد اسعار رائعه وليس دائما
oclar_1star,ساندوش مابشبع صوص
oclar_1star,غلوجي نصاب، يدّعي التدين وهو محتكر
oclar_1star,اسعار جدا مرتفعه و ليس لديه الخبره الكافيه في كل الاقسام…
oclar_1star,الخدمات سيئة جداً😡
oclar_1star,غير مهتم بزبون
oclar_1star,وزارة كل مين فاتح عحسابو وقت يللي بدو بيسكر و بيمشي ويلي مستلم ملفات أدوية الناس المدعو عادل نجيم دايما غير موجود و لدى السوءال للموظفين عن السيد عادل نجيم اجابوا بانه لم ياتي الى مكتبه منذ اكثر من اسبوعين وخذوا على وزارة صحة وعلى تصريحات عالتلفزيون بتفكر عم يحكوا عن وزارة الصحة بباريس فليتفضل معالي الوزير خاصباني و يسال الموظفين على الأقل عن الدوام حيث ان هذه الوزارة من اهم الوزارات نظرا لحاجة الناس لها فهي ليست وزارة للسياحة و الترفيه حتى يمكن اهمالها بهذا الشكل حيث انه بتاريخ ٥/٧/٢٠١٨ الساعة ١٤:٠٠ لا يوجد اي موظف في الطابق الرابع سوى عنصر أمني يعتقد انه مرافق معالي الوزير
oclar_1star,خدمة سيئة كوضع البلد بالضبط، يضاف إليها إضراب. كتير حلو.
oclar_1star,) مش كل الناس عندها انترنت لتحتى تشوف فاتورتها أو تفتش عشي رقم تضربو انتو ويلي قلكم تدخلو اوجيرو بالانترنت
oclar_1star,جميل لا بأس
oclar_2star,مكان جميل ويوجد به محتالين
oclar_2star,حلووو
oclar_1star,ثلاث ايام من التقيؤ والاسهال وقد يكون اكثر بسبب التلوث
oclar_1star,روعه
oclar_1star,حلو كتير
oclar_2star,شاطئ مقبول ..الرمل والبحر حلو وجميل لانو من خلق الله...اما الخدمات تعيسة جدا وتعامل سئ..
oclar_2star,) غير صحيه لا يوجد فيها خدمات عامه لا يوجد موقف للسيارات خاص به
oclar_1star,الشط مجوي و مقلعط فاتحين المجارير على البحر
oclar_1star,شاطئ وسخ
oclar_2star,لا يوجد به اَي مقومات المتعة
oclar_1star,اسوأ كافيهات و مطاعم هيي المطلة على الروشة
oclar_2star,ليست بالمستوى المطلوب
oclar_1star,الشاطئ ملوث
oclar_2star,جميل
oclar_1star,) شاطيء رملي كان نظيف وجميل الان شاطيء وسخ ومليء بمياه الصرف الصحي وذو رائحة كريهة
oclar_2star,ليس جيد
oclar_2star,بقرف
oclar_1star,إنارة ضعيفة وشباك مخزّئة
oclar_2star,كتير مرتب وحلو بس الخدمه والكرسونيه عاطله جدا الا ازا كان شي ضابط او مسؤول اما عامه الشعب لن يتعشوا مع انو الدفع سلف قبل الدخول
oclar_2star,) بحطو سعر الاكل على ال menu شي و السعر بكون اغلى انا طلبت صحن ناغتس كل مرا بكون حقو 4 بس هني بعوني يا ب 5 و قالولي انون غلو الاسعار و انا لس ابل بيوم طلبت ناغتس ب 4 الاف
oclar_1star,لا بأس
oclar_1star,كل الأفراد مهزبين و النجمة لي حطيتها بس بهالشي لان كل الامور الباقية سيئة جدا كخدمة متل اعطاء معلومات و ارشادات للناس خاطئة ،ما بيعرفوا شو الملفات لي بتتقدم بفرع المديرية العامة و شو بتتقدم بفرع المتحف أو مقابل السوديكو . كل النهار الناس رايحة من فرع لفرع و من طابق لطابق و المعاملات بتتاخر لتخلص مش معروف ليش رغم انو بتلاقوا كتير في أفراد جالسة ما عم تعمل شي و ما في ضغط معاملات و فوق هيدا كلو بينتزع عندن السيستام و بتوقف المعاملة و ما حتى بيتصلوا فيك ليخبروك انو تتعطل و في تاخير لانو تغير برنامجك و حجوزات و امورك.كلو تفويت بالحيطان و تضييع وقت و استخفاف بالعالم و تسلاية و قلة قيمة لوقتنا. (
oclar_1star,اسواء ناس بشوفهن بحياتي عناصر الامن العام واحص بالذكر العدليه قمة في قلة الادب و قلة الاحترام جهل بالقوانين محسوبيات و محاصصات طائفيه خربتو سمعة البلد للمغتربين اللبنانيين و الاجانب (
oclar_2star,لا مواقف ولا أمان
oclar_1star,مش منيحة لان اذا بدك تصف مشكلة ولسورين ياعين
oclar_1star,غير مخصص لطلب من قبل شخص واحد و هذا امر غير مستحب انه اذا شخص اجا عباله ياكل لحاله مافي يطلب ديليفري غير ليصير حسابه 24000ل.ل انه الواحد مجبور يطلب بقيمة 24000ل.ل ليوصلولو ديليفري + 2000ل.ل ديليفري شارج شو هل مسخرا
oclar_1star,البارحة ذهبت الى مطعمكم الفضيل ،دخلت و قلت للموظفة ارغب بالجلوس و انني وحدي ،عندما كانت تبحث لي عن مكان للجلوس تدخلت امراة على ما اعتقد انها زوجة صاحب مطعمكم الفضيل لتقول لي ليس هناك مكان كان يجب ان تحجز قبل المجيئ يمكنك الجلوس في المطعم الثاني التابع لنا في الطابق السفلي ..فتدخلت الموظفة التي كنت قد اخبرتها انني جأت للاستماع على عزف شادي العواد انه جاء من اجل شادي فقالت لي صاحبة مطعمكم الفضيل انه لا يمكن لك الجلوس و في كل الاحوال على من يجلس ان يطلعب العشاء !! لا اعتقد انني ذهبت لادرس في مطعم !! لقد ذهبت كي اتناول الطعام و اشرب النرجيلة !اولا كانت الطريقة جدا خاطئة خاصة في ما خص موضوع العشاء !! ثانيا كمطعم مثل مطعمكم الفضيل لا اعتقد انه يصعب تأمين طاولة و كرسي واحد !! ثالثا كانت هذه زيارتي الثانية الى مطعمكم الفضيل و لكن للاسف لم تكتمل و لن تكتمل.. شكرا ل أفندينا على هذا التعامل مع الزبائن...هذه كمشكلة لا حل لها حيث ان المشكلة من اصحاب المحل و ليست من موظفة !! شكرا افندينا على حسن التعامل بالتوفيق !!
oclar_1star,هذه اول مره ازور مطعمكم. الاكل عادي و الخدمة منيحة. و لكن كمية الطعام قليلة مثلا: الطاووق لم يكن معه بطاطا. و اسعارها غاليه بالنسبة لحجم الاكل. و لم توضعوا اشارات المطعم على طول الطريق
oclar_1star,عفكرة المطعم بجنن لقمتو طيبة واكلو بشهي وشي ولا اروع من هيك اكل مطعم ستايلو وديكور حلو عندو اكتر من خبزة صاج او مروق ول غريب في خبزة بيتا اذا بتجربوا كتير طيبة غريبة وبتجنن ولفت نظري كبة شاورما ..دجاج ..او لحمة ..مع سوس معا  مطعم بموقعو الحلو بصيدا بجنن وانا ابن صيدا بفتخر بهيك اكل طيب..ولذيذ ..
oclar_1star,يوم الاحد عالشخص ٥٠$ بوفيه مفتوح واذ منكتشف انه المياه والبيبسي مش داخلين بال٥٠$!! وكنا ٨ اشخاص وكل واحد طلع عليه ١٠$!! كل واحد دفع حق مياه وبيبسي وبيرييه ١٠$!! يعني اللحمة والدجاج والسمك ارخص من صندوق المياه؟ والبيبسي؟ والبيرييه؟
oclar_1star,"يا جماعة حابب خبركم شو صار معي و مع عيلتي.. مبارح حجزت بمطعم تلة نصر يلي بمنطقة نعص. و لما حجزت عالتلفون خبروني انه المطعم فاضي بعد العيد و انه رح يعطوني طاولة بنص المطعم عالاطلالة. حجزت طاولة كبيرة و طلعت لهنيك عالغذاء مع عائلتي و معنا كان ضيوف. اول ما شافونا بالمطعم و سمعوا لهجتنا السورية قالنا الجرسون انه رح يعطينا طاولة بالقسم المغلق من المطعم. قلتله للجرسون بس انا حاجز برة و المطعم شبه فاضي بقى ليه بده يعطيني جوه المطعم بالقسم المغلق قام قالي انه كل الطاولات محجوزة.  قلتله ما انا عامل حجز من مبارح و على أساس طاولتي بنص المطعم عالاطلالة و ما في مشكلة.  قام عَصّب الجرسون و قال انه هاد الحاضر.  طلبت احكي مع صاحب المطعم مع العلم انه انا عندهم زبون معروف و دايما بطلع مع عائلتي و بيعرفوني منيح. رحت لعند صاحب المطعم و قلتله انه انا مستغرب من هالطريقة بالحكي معي و انه الجرسون يلي حاكاني قليل أدب قام بهدلني صاحب المطعم و قال ""انا ما بسمحلك تحكي هيك عنه و هو احسن منك"" و قال انه اذا ما عاجبني احمل حالي انا و عائلتي و ننقلع من مطعمه لانه ""أنتو من اول العيد هلكتوني"" قلتله مين انتو؟ ما انا ما اجيت لعندك كل العيد!!! قام قالي انتو السوريين هلكتوني و ما عاد بدي ياكم عندي بمطعمي و هاد المطعم الكم وهبوني ياه!!! زوجتي كانت معي عند صاحب المطعم و حاولت تحكي قام الجرسون قالها ""رجلي فيكي!!!!!"" انا بهاللحظة فعلا تفاجأت من نبرة الكراهية يلي بصوته و تفاجأت من الاهانة يلي تعرضنا الها انا و زوجتي و ضيوفنا يلي معنا. قلتله انه قليل أدب و نحنا ما بيشرفنا نفوت لعندك عالمطعم و ما بيشرف لبنان انك تكون لبناني و عندك هالكراهية كلها النا. هي اول مرة بتعرض لهيك إهانة و هيك موقف و بتمنى من الكل يقاطعوا هاد المطعم لانه شخص بهالكمية من الكراهية للسوريين ما لازم ندوس مطعمه رح قدم شكوى رسمية بهاد المطعم لوزارة السياحة اللبنانية يلي اكيد هاد التصرف ما ممكن تقبله بحق اي شخص غريب عّم يفيد قطاع السياحة و المطاعم بالبلد و هيك تصرف ينم عن زعرنة و قلة أدب و بيعطي صورة غير حضارية عن لبنان"
oclar_1star,ادارة فاشلة  دخلنا مجموعة اصدقاء طلبنا اراكيل وحلويات لكن الادارة رفضت الطلب لأننا لم نطلب عشاء وبررت الرفض بأنها مؤسسة لتقديم الطعام وليس فقط للاراكيل والمشروبات والحلويات
oclar_1star,حسن الإستقبال وخدمة الزبائن مع الوجه البشوش من أهم صفات المطاعم في العالم ومع الأسف هذا ما يفتقده بعض موظفي هذا المطعم. إذ أظهر البعض الوجه العبوس  مع التحديق بالجالسين عداك عن إظهارهم لعدم رضاهم عن ما طلبت !! وصاروا يتوشوشون فيما بينهم أمامنا مرارا وتكرارا... كانت أول زيارة لي لهذا المطعم ولا شك أنها الأخيرة.
oclar_1star,مطعم ابدا مش منيح ما حدن بيجي بياخد الطلبية ولا شي مطعم سيء جدا جدا واكله ابدا مش طيب لقد نطرنا ساعتين ما حدا مرق وسالنا شو بدكن تطلبون من الماتر
oclar_1star,الدجاج نزل و بعد ٢٠ دقيقه البطاطه و المقبلات. خدمه سيئه جداً ١١ شخص كنه شي بسم البدن و الاراجيل شي تعتير كتير كتير ٥ دقائق كانة الروس محروقه و ربع ساعه ليجو يشيلو الاكل الخالص شي ابدن مش مقبول !!!!!!
oclar_1star,"I will write in Arabic to let everyone understand this Very Bad Experience at the new Saniour Antelias.  ١-الطلبية  chicken seasear salad النتيجة : عضمة صغيرة بالسلطة  Chicken avocados sandwish ( please without mushroom, because i have severe allergie) النتيجة : السندويش مرتين مع فطر  Plate taouk and grilled meet النتيجة : اللحم محروق ، والكمية جدا قليلة هيدا كلو منيح ، لما يشرّف ال supervisor ويربحك جميلة بصحن بسكوي او شوكولا و صحن حلو ثاني، و بزينن بجملة ، أنا ما عم راضيك، بس لازم طعميكن شي ،  NO HAYATSI ,  انا مش ناطرك تضيفني ، وما تربح جميلة مسيو peter  مفروض تجلي صحون الdessert قبل ما تربّح جميلة  (The desserts plate was durty with Kutchup)  طلبنا الفاتورة، وصلت مع قنينة فنتا كنا طالبينا اول ما وصلنا ومع كل هيدا الشي ، المدير ما شرّف عالطولة،  بس لحقنا لبرا الاستاذ بيتر و عم بقلنا لما تجو مرّة ثانية سألوا عني لا حياتي ،  لا انا ، ولا اصحابي ، ولا حدا بشرفو نجي ندفع مصرياتنا بمحل ما بيحترم زبوناتوا و بقدم أكل كتير غالي بالنسبة للنوعية وشكراً"
