row_id,category,priority,source,text_sha256,text_len_chars,text_len_words
50,جودة الطعام,متوسطة,production,67669dbf748ebeca,38,8
51,عامة,منخفضة,production,eab1f69290b89635,9,2
52,عامة,منخفضة,production,4df460de277f8ee6,24,4
53,جودة الطعام,متوسطة,production,5e7c95a8849894ec,71,12
54,جودة الطعام,منخفضة,production,6ae6388cbc2f73e9,341,67
55,عامة,منخفضة,production,43cd0acf9eef9a81,47,9
56,السعر والقيمة,منخفضة,production,4c0262104bfe0f0c,284,64
57,السعر والقيمة,منخفضة,production,b2d7bc2fb6f51bcf,161,25
58,جودة الطعام,منخفضة,production,f54eb9c74c64f5da,307,56
59,جودة الطعام,متوسطة,production,cc09c7be8f53552a,73,13
60,السعر والقيمة,عالية,production,a812fb425c46d2f7,488,91
61,جودة الطعام,متوسطة,production,345358948f7c8903,48,9
62,الجو والمكان,متوسطة,res1,6349a6c784958321,424,75
63,السعر والقيمة,منخفضة,production,d857de359d88ff09,48,9
64,جودة الطعام,منخفضة,production,69a4093540c495ec,113,20
65,جودة الطعام,منخفضة,production,1c2827dc59d7ee6c,300,61
66,جودة الطعام,متوسطة,production,b08847bf3b4ddf5b,48,9
67,جودة الطعام,متوسطة,production,0ecba08a6935bf55,250,46
68,عامة,منخفضة,production,1e4f48c2c6e8c89e,79,5
69,جودة الطعام,منخفضة,production,570f9a82c41ebe06,80,13
70,عامة,متوسطة,production,b01a70f0d36a7229,48,11
71,جودة الطعام,متوسطة,production,8db98135573063c7,52,10
72,السعر والقيمة,منخفضة,production,e045243e2077aaaf,134,22
73,خدمة الموظفين,عالية,production,6d2c49004d26fe2e,47,8
74,وقت الانتظار,متوسطة,production,e7de25478920df7f,46,11
75,عامة,منخفضة,production,8063323568192637,141,26
76,السعر والقيمة,منخفضة,production,d355b0fc4f795bab,363,76
77,جودة الطعام,منخفضة,production,012704db347a284a,190,34
78,الجو والمكان,متوسطة,res1,e934d598ed0d9d3b,193,36
79,جودة الطعام,متوسطة,production,82558e938175b3f6,169,31
80,عامة,منخفضة,production,422abaf98749cbbb,191,39
81,جودة الطعام,منخفضة,production,e86ff3b9b72f1304,83,18
82,السعر والقيمة,منخفضة,production,cace10e44d5258b8,178,35
83,جودة الطعام,منخفضة,production,40981869a2c3f5ad,210,44
84,السعر والقيمة,عالية,production,81d5fc61da228340,50,9
85,جودة الطعام,متوسطة,production,8962f05e0f07b0fe,48,8
86,جودة الطعام,منخفضة,production,d2ec8a51879de48a,309,59
87,جودة الطعام,متوسطة,production,6a7c99d59bde5f34,25,4
88,خدمة الموظفين,متوسطة,production,5d0050cbaa306c42,47,9
89,السعر والقيمة,منخفضة,production,04de97ccb7c39719,673,114
90,جودة الطعام,منخفضة,production,8f7d5ce15c38ff99,77,14
91,جودة الطعام,منخفضة,production,c09af78d7a676e07,122,25
92,جودة الطعام,منخفضة,production,6c8b6fbe3b88e8ac,75,14
93,جودة الطعام,منخفضة,production,c1df5b4262dcdc16,136,22
94,جودة الطعام,منخفضة,production,d3d80e9cf0fb0cfc,131,25
95,جودة الطعام,منخفضة,production,dd7a7dc0d50860d5,173,30
96,خدمة الموظفين,متوسطة,production,938b395c94d3fdbc,44,8
97,الجو والمكان,متوسطة,res1,7fac47b32ca93245,536,96
98,جودة الطعام,منخفضة,production,20929ddbfa4f8433,104,21
99,الجو والمكان,متوسطة,res1,f61451535c219620,203,35
100,خدمة الموظفين,متوسطة,production,55c1ee95aa316fde,47,8
101,جودة الطعام,متوسطة,production,4948dfa69fce8b25,22,5
102,جودة الطعام,منخفضة,production,b28606b43aa47871,113,21
103,جودة الطعام,منخفضة,production,9326ac6b7a4aaab5,101,17
104,السعر والقيمة,منخفضة,production,0610ce66ec2733e3,123,25
105,جودة الطعام,منخفضة,production,57c49d3266630f47,20,4
106,عامة,منخفضة,production,9801e48a8c96285c,52,10
107,السعر والقيمة,منخفضة,production,387301adeedf7316,128,22
108,جودة الطعام,منخفضة,production,1beaece6cfc2f0ab,51,8
109,السعر والقيمة,منخفضة,production,49bdd0d27494162f,60,9
110,السعر والقيمة,منخفضة,production,ccad6286c678d1b5,123,24
111,جودة الطعام,منخفضة,production,1b3cf2472fd6801d,76,12
112,السعر والقيمة,منخفضة,production,67151f77a22b87dd,206,40
113,جودة الطعام,منخفضة,production,fd086c06e2e1b777,1280,225
114,عامة,منخفضة,production,c580a823e1525e8d,57,11
115,السعر والقيمة,منخفضة,production,c638134eb3f834e6,34,6
116,عامة,منخفضة,production,0a2af72c04066e1f,75,13
117,جودة الطعام,عالية,production,32584c1e8bf583d9,373,77
118,السعر والقيمة,منخفضة,production,ef6439ccb8bbad9d,270,48
119,السعر والقيمة,منخفضة,production,917911bf428d0320,409,77
120,وقت الانتظار,متوسطة,production,31cc5b07875dea59,39,7
121,جودة الطعام,متوسطة,production,18c3aac39ae56967,38,8
122,السعر والقيمة,منخفضة,production,717e56fc570f12d1,863,156
123,السعر والقيمة,منخفضة,production,a50a5dadf8b48e0b,630,109
124,جودة الطعام,منخفضة,production,420fd14d3a7cd5c4,93,16
125,جودة الطعام,منخفضة,production,a0b0f03718243770,265,50
126,السعر والقيمة,منخفضة,production,68c6904f263a05d7,159,31
127,السعر والقيمة,منخفضة,production,73e7a924a89575fa,429,78
128,السعر والقيمة,منخفضة,production,9141ade8afa33a9f,34,7
129,السعر والقيمة,منخفضة,production,2c0eafcf8c69ab58,213,39
130,وقت الانتظار,منخفضة,production,c606b6e4b9c0832b,142,29
131,خدمة الموظفين,متوسطة,production,4f15493d3548e77c,45,8
132,السعر والقيمة,منخفضة,production,43cbdc49a7c701d3,46,8
133,السعر والقيمة,متوسطة,production,cff7841975f9543f,50,10
134,جودة الطعام,منخفضة,production,cc4f2f49d26de081,68,14
135,جودة الطعام,منخفضة,production,fe32c2da415788f2,51,10
136,السعر والقيمة,عالية,production,623cf9049ad6c133,1016,184
137,السعر والقيمة,منخفضة,production,ef521e9bce3c1842,165,28
138,السعر والقيمة,منخفضة,production,3b40f00edffdce82,125,23
139,السعر والقيمة,منخفضة,production,3d6bb0c2f197877c,24,5
140,جودة الطعام,عالية,production,95994b9748220fc2,45,9
141,جودة الطعام,متوسطة,production,57cc918bdc68f5bf,59,11
142,السعر والقيمة,منخفضة,production,1d239894943f66cf,178,31
143,جودة الطعام,منخفضة,production,faf80011551e36a0,32,5
144,جودة الطعام,منخفضة,production,dc26b55008132004,548,93
145,السعر والقيمة,منخفضة,production,bdc72bb4e6845379,415,75
146,جودة الطعام,متوسطة,production,5801a81b36b2ea9e,161,31
147,جودة الطعام,منخفضة,production,de6d3e60ee1886e1,31,6
148,جودة الطعام,عالية,production,7d709c5d3465a383,299,52
149,النظافة,منخفضة,production,734964a4a22364db,101,17
150,جودة الطعام,منخفضة,production,18d180e4ec4870f6,75,11
151,جودة الطعام,متوسطة,production,7f5e61304c41f6b4,63,11
152,جودة الطعام,منخفضة,production,a22a6a1a73ea1898,62,11
153,جودة الطعام,منخفضة,production,3225ea85ef725b61,50,10
154,السعر والقيمة,منخفضة,production,6da35bc7bd326ce6,35,7
155,السعر والقيمة,عالية,production,8ee1b9ee15e99cc8,617,105
156,السعر والقيمة,منخفضة,production,fdb28a7bcddc31bc,45,8
157,خدمة الموظفين,متوسطة,production,92639cfd67c54dbc,24,5
158,السعر والقيمة,متوسطة,production,6fa7deea8711ae72,35,7
159,جودة الطعام,منخفضة,production,4e88959da8dbc437,82,15
160,جودة الطعام,متوسطة,production,7520af46121f06db,58,11
161,السعر والقيمة,منخفضة,production,8950c4c3cdb5ae9b,46,9
162,السعر والقيمة,منخفضة,production,99dd63933300eff5,113,23
163,الجو والمكان,متوسطة,res1,d06b71e0419548bf,193,30
164,عامة,منخفضة,production,e47b7fc7c286b76e,19,3
165,جودة الطعام,منخفضة,production,9bdff36aeae26755,413,70
166,وقت الانتظار,متوسطة,production,619c872dcde1e1bf,48,10
167,وقت الانتظار,متوسطة,production,d7787ec05cc21412,34,6
168,عامة,منخفضة,production,512b7a5fb096afe8,34,6
169,جودة الطعام,منخفضة,production,a8957209ef182284,30,5
170,السعر والقيمة,منخفضة,production,d6141462c9908b6d,89,18
171,وقت الانتظار,متوسطة,production,09c94092e7c14764,25,5
172,وقت الانتظار,متوسطة,production,01e2edf43a4c2d5c,20,4
173,جودة الطعام,منخفضة,production,1ea6de10c2275627,127,20
174,السعر والقيمة,منخفضة,production,0d3c2a85315b2bf6,800,149
175,جودة الطعام,منخفضة,production,0804605f482c2d25,132,23
176,جودة الطعام,منخفضة,production,3aeaf25f130308f9,140,25
177,جودة الطعام,منخفضة,production,f63faa4ff003646f,108,17
178,وقت الانتظار,متوسطة,production,38c324a4fc28d0bf,44,8
179,جودة الطعام,منخفضة,production,20095196c5fbe272,154,28
180,عامة,منخفضة,production,edde0e094a35cd8f,10,1
181,وقت الانتظار,منخفضة,production,3ec29dbfe4b5b1c6,171,30
182,جودة الطعام,منخفضة,production,c7d5f3586c1f7f05,320,56
183,النظافة,عالية,production,05c7db877b0473bc,40,8
184,السعر والقيمة,منخفضة,production,e209a7061b5fa17d,182,32
185,جودة الطعام,منخفضة,production,699475642aea003d,106,17
186,الجو والمكان,متوسطة,res1,edec0ee5084fffb7,728,140
187,جودة الطعام,منخفضة,production,106cace8d6028d62,72,12
188,وقت الانتظار,متوسطة,production,e096db5e0165f12d,48,10
189,جودة الطعام,متوسطة,production,9c51e5bcc4c97b04,210,34
190,جودة الطعام,منخفضة,production,5147981abf691aef,107,18
191,وقت الانتظار,متوسطة,production,f4e226ab6a54c2d3,36,8
192,السعر والقيمة,منخفضة,production,de6124f650232f7d,484,100
193,جودة الطعام,منخفضة,production,fb591f94ec73d617,397,63
194,جودة الطعام,متوسطة,production,19e0e6cb3493d150,108,18
195,عامة,منخفضة,production,42a5dadf6e451488,5,1
196,جودة الطعام,منخفضة,production,4c92c0ae67bb1ace,127,20
197,جودة الطعام,منخفضة,production,62ce37441b520b2b,204,36
198,السعر والقيمة,منخفضة,production,2cc88f83c2597afd,806,133
199,جودة الطعام,منخفضة,production,3edb88144dec4941,432,69
200,جودة الطعام,متوسطة,production,ad51b6c1460d923d,227,39
201,عامة,منخفضة,production,727d4f4a3d452da5,139,29
202,عامة,منخفضة,production,4c268dc59c0a2cb9,72,11
203,السعر والقيمة,منخفضة,production,cbb7640a736599a7,492,84
204,خدمة الموظفين,متوسطة,production,d900deb8d8d19d29,36,8
205,السعر والقيمة,عالية,production,14d4119851a3c953,123,22
206,عامة,منخفضة,production,c02cffbbdf33d2e5,40,7
207,جودة الطعام,منخفضة,production,7ef43e05ff38cf20,56,9
208,جودة الطعام,منخفضة,production,7fef9df0bb24e4d7,56,8
209,السعر والقيمة,متوسطة,production,0b1a98a76db0fd82,98,19
210,جودة الطعام,منخفضة,production,4ad8904a065af06a,62,9
211,السعر والقيمة,منخفضة,production,553ff642b17c8470,30,7
212,جودة الطعام,متوسطة,production,ca112a5a2392fbec,73,14
213,عامة,منخفضة,production,22647cbf957f2804,12,2
214,عامة,منخفضة,production,45e00c179dfc948a,43,6
215,السعر والقيمة,منخفضة,production,483f6bb0bbded56f,135,24
216,النظافة,متوسطة,production,40934912a4aa770d,35,6
217,السعر والقيمة,منخفضة,production,0d54228c7e9172a7,51,9
218,السعر والقيمة,منخفضة,production,730e4f1231a49cb1,83,17
219,عامة,منخفضة,production,b2cc7d02ead65371,13,3
220,الجو والمكان,متوسطة,res1,ad807cdc2958a5a6,1031,179
221,النظافة,متوسطة,production,146d9a8499dd3dfe,50,9
222,السعر والقيمة,منخفضة,production,5dc5520e143fed44,481,90
223,السعر والقيمة,متوسطة,production,9b33171fc44bb331,73,14
224,السعر والقيمة,منخفضة,production,593a4a4c4a085824,432,77
225,جودة الطعام,عالية,production,57119c917a536c1f,125,24
226,عامة,منخفضة,production,a9d780b077683bba,55,8
227,السعر والقيمة,منخفضة,production,1aa38676e180edb6,187,35
228,الجو والمكان,متوسطة,res1,9ecc006998828e48,74,13
229,جودة الطعام,متوسطة,production,91f1844ca206e954,53,6
230,السعر والقيمة,منخفضة,production,e33f6e17112f2c2a,432,80
231,السعر والقيمة,منخفضة,production,1b19b75e73165fa0,152,27
232,جودة الطعام,متوسطة,production,54c3d286356699a1,77,13
233,عامة,منخفضة,production,c1b2620d41e613f1,26,5
234,جودة الطعام,منخفضة,production,be46b7542e81c9e7,353,62
235,الجو والمكان,متوسطة,res1,df33be2e2df37c99,241,45
236,جودة الطعام,منخفضة,production,520fab7dcde53b07,271,50
237,السعر والقيمة,منخفضة,production,59905d096b1fda26,461,81
238,الجو والمكان,متوسطة,res1,891564a4334caf09,132,27
239,جودة الطعام,منخفضة,production,448429cc1f52ce03,159,31
240,جودة الطعام,منخفضة,production,85e4a47573f7d30a,161,31
241,وقت الانتظار,متوسطة,production,f798be2c526594bc,43,9
242,الجو والمكان,متوسطة,res1,22d804615cd5bede,564,104
243,جودة الطعام,منخفضة,production,48b6238c2773ddf9,145,21
244,السعر والقيمة,منخفضة,production,36ea890ac3a456ae,183,31
245,جودة الطعام,منخفضة,production,bf0f3eb82dc8a50c,129,24
246,جودة الطعام,منخفضة,production,ce4edf062939859e,33,6
247,عامة,منخفضة,production,e9525b4bd052a511,53,8
248,جودة الطعام,منخفضة,production,693c6873cfa74b92,170,36
249,جودة الطعام,متوسطة,production,057aa441dd520637,108,18
250,السعر والقيمة,منخفضة,production,047f4743371fc381,193,43
251,خدمة الموظفين,متوسطة,production,0ba63597b44325e2,38,7
252,الجو والمكان,متوسطة,res1,d08d85f07ef50750,570,105
253,جودة الطعام,منخفضة,production,cea9c0302080afa3,217,41
254,السعر والقيمة,منخفضة,production,190efacbdd9a36e4,180,31
255,وقت الانتظار,متوسطة,production,b7f844e05098cd96,38,7
256,النظافة,عالية,production,2892e105815a9737,39,7
257,الجو والمكان,متوسطة,res1,344a81a1b497cef6,192,36
258,جودة الطعام,منخفضة,production,597d72feb2b4df7c,106,17
259,السعر والقيمة,منخفضة,production,0c23fbeb22029dd5,191,33
260,عامة,منخفضة,production,c366607ae9bb2270,23,4
261,جودة الطعام,متوسطة,production,f6969f95ac88f6cb,310,63
262,السعر والقيمة,عالية,production,05d5f0554b961888,596,110
263,جودة الطعام,منخفضة,production,d978404e43ca26a8,266,44
264,خدمة الموظفين,منخفضة,production,43547effdc25e350,97,17
265,السعر والقيمة,منخفضة,production,f2f358de282ff8dd,28,6
266,عامة,منخفضة,production,70a739cc08ceecc8,103,19
267,السعر والقيمة,منخفضة,production,ab4eb8f0371ee4c8,175,33
268,السعر والقيمة,منخفضة,production,5d324cc78a3e3ad3,616,103
269,جودة الطعام,منخفضة,production,a3846967318028de,596,101
270,الجو والمكان,متوسطة,res1,601360c5c8908e5c,409,81
271,السعر والقيمة,منخفضة,production,6500dd78002b32c1,26,5
272,خدمة الموظفين,متوسطة,production,fca95c5029076723,36,7
273,جودة الطعام,عالية,production,044dfa2b406e4202,41,7
274,النظافة,متوسطة,production,5e120106a0ab88b1,22,5
275,النظافة,متوسطة,production,16a2a58965e5954e,42,8
276,السعر والقيمة,منخفضة,production,0f3376beb3f9e522,490,91
277,جودة الطعام,منخفضة,production,b04b6bd003052f83,29,5
278,جودة الطعام,منخفضة,production,a88ee6e30d6231bf,56,10
279,عامة,منخفضة,production,27ea4187b61f9eac,21,5
280,السعر والقيمة,منخفضة,production,871e4bb6655490b9,156,29
281,جودة الطعام,منخفضة,production,e32588de43f4521c,290,52
282,عامة,منخفضة,production,4dc0c0a96373072c,54,8
283,وقت الانتظار,متوسطة,production,82f035e3309dbae5,29,5
284,عامة,منخفضة,production,dc736d7def519c0d,15,3
285,السعر والقيمة,متوسطة,production,54cba24e95c244d8,133,23
286,النظافة,عالية,production,e2fc7fcbc6414040,135,23
287,جودة الطعام,منخفضة,production,0bf4e8733cdef9f9,266,45
288,السعر والقيمة,منخفضة,production,77bf7d9409451dee,79,14
289,السعر والقيمة,متوسطة,production,e3dd64210478ad4e,293,54
290,جودة الطعام,منخفضة,production,0a04ea7689aa4b20,127,26
291,عامة,منخفضة,production,7479da0e509e625a,156,27
292,جودة الطعام,منخفضة,production,498a860f46e16a18,129,25
293,جودة الطعام,منخفضة,production,80a887a1f0e97634,37,7
294,جودة الطعام,منخفضة,production,19ef791d9ef4a0a0,379,68
295,جودة الطعام,منخفضة,production,cbd68a5089a3b63f,238,43
296,خدمة الموظفين,متوسطة,production,6dda7f372a0dca89,42,8
297,السعر والقيمة,منخفضة,production,459079270056f179,27,4
298,جودة الطعام,متوسطة,production,1bb172ada207fcf0,1042,188
299,جودة الطعام,منخفضة,production,b241080ece1acbcf,205,37
300,جودة الطعام,منخفضة,production,68734c82eae45435,567,91
301,جودة الطعام,منخفضة,production,56e7690ca0fe8f17,132,27
302,عامة,منخفضة,production,9b3bca044cea3ce8,4,1
303,السعر والقيمة,منخفضة,production,4390bdb814a70710,59,12
304,السعر والقيمة,منخفضة,production,238ba9fdacc9a41b,35,6
305,خدمة الموظفين,متوسطة,production,e0f8d0751cc03205,37,7
306,جودة الطعام,منخفضة,production,4f26cd0fb3edb325,272,53
307,خدمة الموظفين,متوسطة,production,82289413519d9e0c,39,7
308,جودة الطعام,منخفضة,production,827972515ef20b38,24,5
309,الجو والمكان,متوسطة,res1,6492ab4b55bd85ef,603,111
310,جودة الطعام,متوسطة,production,cced63e91dd2f0bd,47,8
311,الجو والمكان,متوسطة,res1,10230314ebd43edd,168,30
312,السعر والقيمة,منخفضة,production,54ecaa009e88f0d2,59,13
313,جودة الطعام,منخفضة,production,8a7a7895468ce359,101,16
314,السعر والقيمة,منخفضة,production,cce8928f0c1cbd6f,162,32
315,جودة الطعام,منخفضة,production,af17d129bb91cf4c,65,10
316,السعر والقيمة,منخفضة,production,59d4b0b3ca8a0dc9,33,6
317,السعر والقيمة,منخفضة,production,bb3f16052d03bc8b,104,20
318,عامة,منخفضة,production,b12dded010e18326,41,8
319,جودة الطعام,متوسطة,production,7eec3aa416b40409,36,7
320,السعر والقيمة,منخفضة,production,a9f8b3cdb12fae30,353,62
321,جودة الطعام,منخفضة,production,cd565d0d970cee9a,57,12
322,عامة,منخفضة,production,5934c7527bc69d02,37,6
323,جودة الطعام,منخفضة,production,4a5b0c43732f01d6,144,27
324,جودة الطعام,منخفضة,production,30b19e0b0bf594e5,261,51
325,جودة الطعام,منخفضة,production,353f3ac99e409e4b,31,6
326,جودة الطعام,منخفضة,production,1a94ab6a550d6ee9,198,35
327,وقت الانتظار,متوسطة,production,28726f825bc19799,38,8
328,الجو والمكان,متوسطة,res1,8a2b2b7d2323582c,378,73
329,السعر والقيمة,منخفضة,production,446928248043baba,141,25
330,عامة,منخفضة,production,7d6d30c079be5718,140,24
331,جودة الطعام,منخفضة,production,024b598bcdbd5c12,918,168
332,النظافة,منخفضة,production,31e5c702faf7de43,193,31
333,جودة الطعام,منخفضة,production,9fa53ebfb18f8aee,598,122
334,جودة الطعام,منخفضة,production,e72e17c5f4a8647f,338,64
335,جودة الطعام,منخفضة,production,dfb9dc4c6af00481,159,25
336,السعر والقيمة,منخفضة,production,afda3133195131fe,70,14
337,جودة الطعام,متوسطة,production,af997565ac68f736,447,77
338,جودة الطعام,منخفضة,production,5fb8ae51c96ba6b1,450,80
339,جودة الطعام,عالية,production,af4eb05cbfc25e6e,91,16
340,الجو والمكان,متوسطة,res1,352457f65f650a45,39,7
341,جودة الطعام,متوسطة,production,a284886cba387d98,48,10
342,جودة الطعام,متوسطة,production,5db0a50554532aee,152,29
343,جودة الطعام,متوسطة,production,062b63d392436064,45,8
344,خدمة الموظفين,متوسطة,production,d0d3753458f053f9,52,8
345,السعر والقيمة,منخفضة,production,bf297998d6d57716,152,26
346,النظافة,عالية,production,886e984d37a2b27a,41,7
347,جودة الطعام,منخفضة,production,77e78a8eb3c8790d,157,29
348,خدمة الموظفين,متوسطة,production,a356f62d85bb1982,42,7
349,خدمة الموظفين,منخفضة,production,bb45033b62cf1601,230,44
350,السعر والقيمة,منخفضة,production,7c429286de1879ab,38,7
351,السعر والقيمة,منخفضة,production,df93f02d5ab83f75,32,6
352,السعر والقيمة,منخفضة,production,a755b4bad1854708,36,6
353,جودة الطعام,متوسطة,production,64a217ef42005633,25,5
354,السعر والقيمة,منخفضة,production,474f6329eba95b47,269,49
355,عامة,منخفضة,production,1c37a4a687f0448a,107,20
356,السعر والقيمة,منخفضة,production,ab348d1e3f7ace61,197,37
357,عامة,منخفضة,production,dfa7be3a03f56282,7,2
358,السعر والقيمة,عالية,production,2024e3c9af6d57eb,56,10
359,عامة,منخفضة,production,ca9ff7bc17ed8140,56,10
360,جودة الطعام,منخفضة,production,485be18d3e35844a,248,48
361,السعر والقيمة,منخفضة,production,f1c29709fb553d51,163,29
362,عامة,منخفضة,production,06a6cf3c05d25d67,161,31
363,جودة الطعام,عالية,production,8ce3f0c4776f282d,46,8
364,جودة الطعام,منخفضة,production,0ab1b7a5b4652cd4,119,20
365,السعر والقيمة,منخفضة,production,604c094363902e69,175,33
366,خدمة الموظفين,منخفضة,production,262de82ea1f9af9d,96,17
367,السعر والقيمة,متوسطة,production,1d9f8f708d63ecbf,140,29
368,جودة الطعام,منخفضة,production,16fd8055cf961674,178,35
369,جودة الطعام,منخفضة,production,f1c371bc1e40ed9b,202,37
370,السعر والقيمة,منخفضة,production,52228bf652e37f99,100,20
371,جودة الطعام,متوسطة,production,c71b7caac50e5244,143,25
372,السعر والقيمة,عالية,production,7732485685ce6134,577,105
373,السعر والقيمة,منخفضة,production,207d8b475370505c,92,14
374,عامة,منخفضة,production,c6968be36546d8f5,24,4
375,السعر والقيمة,منخفضة,production,8edf32daac277f8d,79,16
376,السعر والقيمة,منخفضة,production,1eec7048c23d8160,151,26
377,جودة الطعام,منخفضة,production,d3ff496f909900dd,64,11
378,خدمة الموظفين,متوسطة,production,ab14e527af4074fb,32,7
379,السعر والقيمة,منخفضة,production,8f646c14554d911e,1279,252
380,وقت الانتظار,متوسطة,production,bbe8b2d2d22a7411,42,9
381,جودة الطعام,منخفضة,production,ffab5a759bdb818a,16,3
382,السعر والقيمة,منخفضة,production,dc60c821fc587ccc,99,18
383,جودة الطعام,منخفضة,production,150f333521f5674c,133,23
384,السعر والقيمة,منخفضة,production,3dae0af53591cd77,961,172
385,الجو والمكان,متوسطة,res1,cd1c9c472a2735b3,522,100
386,وقت الانتظار,متوسطة,production,4270d2e3294b2964,44,9
387,جودة الطعام,منخفضة,production,244d559db224ec7f,108,21
388,جودة الطعام,منخفضة,production,9f0e53f0f2cce1a5,391,65
389,السعر والقيمة,منخفضة,production,1179bf8382565199,299,57
390,جودة الطعام,متوسطة,production,dc676be0169111f1,91,18
391,السعر والقيمة,متوسطة,production,0a561ff04d032125,40,8
392,جودة الطعام,منخفضة,production,9ecc27f1d178868f,140,30
393,جودة الطعام,منخفضة,production,c17b94e0b8619579,237,37
394,جودة الطعام,منخفضة,production,1466880c7bb2e9fb,31,5
395,جودة الطعام,منخفضة,production,fb0f4d8a2c4ff004,171,37
396,عامة,منخفضة,production,e636436da5c72afb,31,5
397,جودة الطعام,منخفضة,production,a97993b373840aaa,656,124
398,جودة الطعام,متوسطة,production,8f0afb4c18612e72,65,11
399,جودة الطعام,منخفضة,production,da2715135387a129,886,160
400,جودة الطعام,منخفضة,production,ce19894c920abec7,204,36
401,عامة,منخفضة,production,e6213b3e019b64c3,101,18
402,وقت الانتظار,متوسطة,production,0d2766404345c1b8,37,7
403,جودة الطعام,منخفضة,production,4daf3fe6a7c6a27b,129,25
404,جودة الطعام,متوسطة,production,8a55c4d29ea22080,262,50
405,جودة الطعام,منخفضة,production,bfdf418ebae9f46d,162,25
406,جودة الطعام,منخفضة,production,ebf0d89e15f406b1,117,22
407,السعر والقيمة,منخفضة,production,9ecd293b8f60ea6f,46,8
408,السعر والقيمة,منخفضة,production,e5a5173d8a16594d,163,29
409,السعر والقيمة,متوسطة,production,77e8f40c4c5b4f51,354,62
410,جودة الطعام,منخفضة,production,3855105d893b18a2,70,11
411,السعر والقيمة,متوسطة,production,af76526c8073a9d4,630,118
412,عامة,منخفضة,production,74132de9add51e69,45,8
413,عامة,منخفضة,production,abd97b3bc63c0f08,25,7
414,النظافة,متوسطة,production,3b67c98240b67b4d,34,6
415,وقت الانتظار,متوسطة,production,a1aba773edd7b6b7,100,20
